,genotype,index,label
0,5XFAD,0.5805903069230237,AD6m mouse1
1,C57BL/6,0.680669980887252,WT6m mouse1
2,C57BL/6,0.7880827559452573,WT6m mouse1
3,5XFAD,0.6510116490396504,AD6m mouse1
4,C57BL/6,0.7240844116908083,WT6m mouse1
5,C57BL/6,0.6655098825296804,WT6m mouse1
6,5XFAD,0.6227604736707476,AD6m mouse1
7,5XFAD,0.6491821159399225,AD6m mouse1
8,C57BL/6,0.6484733736258443,ALS_control1_d80
9,C57BL/6,0.27769268296202027,ALS_control2_d80
10,C57BL/6,0.6195521876464222,ALS_control3_d80
11,SOD1,0.0,ALS_mouse1_d80
12,SOD1,0.5121684449128562,ALS_mouse2_d80
13,SOD1,0.4779590484235803,ALS_mouse2_d80
14,SOD1,0.6425445018568681,ALS_mouse3_d80
15,SOD1,0.002417465990405913,ALS_mouse4_d80
16,C57BL/6,0.15783675724289623,ALS_control1_d135
17,SOD1,0.5495958961399432,ALS_mouse1_d135
18,C57BL/6,0.335063934307432,ALS_control1_d135
19,SOD1,0.15046819492008276,ALS_mouse1_d135
20,C57BL/6,0.6040326763284758,WT6m mouse2
21,5XFAD,0.5619440059115977,"AD6m mouse2 plate#1 (first 4 lines), WT6m mouse2 plate#2 (rest of"
22,C57BL/6,0.862844208928401,WT3m_mouse1
23,5XFAD,0.6698104973360192,AD3m_mouse1
24,5XFAD,0.5838998518595856,AD9m_mouse1
25,C57BL/6,0.9140893682072041,WT1m_mouse1
26,5XFAD,0.771407088132266,AD1m_mouse1
27,5XFAD,0.7152444262590713,AD1m_mouse1
28,C57BL/6,0.7729924997795888,young_7w_mouse1
29,C57BL/6,0.7420511623874431,young_7w_mouse2
30,C57BL/6,0.7926000417619674,young_7w_mouse2
31,C57BL/6,0.6129221034548454,old_20m_mouse1
32,C57BL/6,0.627594587535695,old_20m_mouse2
33,C57BL/6,0.35535948638977416,old_20m_mouse2
34,C57BL/6,0.8486722525135302,Trem2_WT
35,5XFAD,0.6674117976533583,Trem2_AD
36,Trem2KO,0.9183274186164455,Trem2_KO
37,Trem2KO,1.0,Trem2_KO
38,Trem2KO_5XFAD,0.842445248695967,Trem2_KO_AD
39,Trem2KO_5XFAD,0.8698435442160275,Trem2_KO_AD
40,Trem2KO_5XFAD,0.7967925637671921,Trem2_KO_AD
41,C57BL/6,0.725531611004262,Trem2_WT_cd11c
42,5XFAD,0.4227126689121702,Trem2_AD_cd11c
43,5XFAD,0.5505011522009106,Trem2_AD_cd11c
44,Trem2KO,0.5968846766316288,Trem2_KO_cd11c
45,Trem2KO_5XFAD,0.5003678094798776,Trem2_KO_AD_cd11c
46,Trem2KO_5XFAD,0.48302391549798573,Trem2_KO_AD_cd11c
47,Trem2KO_5XFAD,0.484890715473178,Trem2_KO_AD_cd11c
48,C57BL/6,0.6664422745766766,ALS_control1_d80
49,SOD1,0.5740531051644813,ALS_mouse3_d80
50,C57BL/6,0.2634010981624911,ALS_control2_d80
51,C57BL/6,0.8474136428137609,WT8m_mouse2
52,5XFAD,0.676681083158108,AD6m_mouse4
53,5XFAD,0.6809238951915703,AD6m_mouse2
54,5XFAD,0.5990220659562293,AD6m_mouse2
55,5XFAD,0.7098638018297406,AD6m_mouse2
56,5XFAD,0.617585414474717,AD6m_mouse2
57,5XFAD,0.7095125896585277,AD6m_mouse2
58,5XFAD,0.7569783043023411,AD6m_mouse2
59,5XFAD,0.7078893202189497,AD6m_mouse3
60,5XFAD,0.5655874338325534,AD6m_mouse3
61,5XFAD,0.6986895598380941,AD6m_mouse3
62,5XFAD,0.6612490928830586,AD6m_mouse3
63,5XFAD,0.6813442727271017,AD6m_mouse3
64,5XFAD,0.7185965551091643,AD6m_mouse3
65,C57BL/6,0.7081067706871573,WT6m_mouse2
66,C57BL/6,0.7112233025399586,WT6m_mouse2
67,C57BL/6,0.7710791697065402,WT6m_mouse2
68,C57BL/6,0.6451733078520692,WT6m_mouse2
69,C57BL/6,0.7506931453488687,WT6m_mouse2
70,C57BL/6,0.7845376987739341,WT6m_mouse2
71,C57BL/6,0.7764189414021917,WT6m_mouse3
72,C57BL/6,0.7308662583602239,WT6m_mouse3
73,C57BL/6,0.6670856521894063,WT6m_mouse3
74,C57BL/6,0.7519247602349665,WT6m_mouse3
75,C57BL/6,0.7161219092697407,WT6m_mouse3
76,C57BL/6,0.6818922736494889,WT6m_mouse3
77,5XFAD,0.7346197191383904,AD6m_cortex_mouse1
78,5XFAD,0.681466985978002,AD6m_cortex_mouse1
79,5XFAD,0.6946256516940144,AD6m_cortex_mouse1
80,5XFAD,0.7243892813796751,AD6m_cerebellum_mouse1
81,5XFAD,0.7781361970393481,AD6m_cerebellum_mouse1
82,5XFAD,0.7745106606183767,AD6m_cerebellum_mouse1
83,5XFAD,0.6733582738681049,AD6m_cortex_mouse2
84,5XFAD,0.6938795641235812,AD6m_cortex_mouse2
85,5XFAD,0.6675948629418987,AD6m_cortex_mouse2
86,5XFAD,0.6684463882562092,AD6m_cerebellum_mouse2
87,5XFAD,0.806146882825879,AD6m_cerebellum_mouse2
88,5XFAD,0.7396310106891052,AD6m_cerebellum_mouse2
89,C57BL/6,0.7462097269061737,WT6m_cortex_mouse1
90,C57BL/6,0.5106772999245882,WT6m_cortex_mouse1
91,C57BL/6,0.7457783638797026,WT6m_cerebellum_mouse1
92,C57BL/6,0.6834936092899864,WT6m_cerebellum_mouse1
93,C57BL/6,0.7437559394846327,WT6m_cortex_mouse2
94,C57BL/6,0.7451036344661841,WT6m_cortex_mouse2
95,C57BL/6,0.5480754885531963,WT6m_cerebellum_mouse2
96,C57BL/6,0.5098275046433028,WT6m_cerebellum_mouse2
